Agra	922	381	427	675	46.3124
Ahmedabad	1850	245	251	1845	13.5676
Asansol_Durgapur	380	199	224	315	58.9474
Aurangabad	715	178	192	649	26.8531
Bengaluru	5508	707	725	4527	13.1627
Bhopal	3623	278	301	3076	8.30803
Coimbatore	1128	263	270	1004	23.9362
Delhi	6937	1822	1866	6633	26.8992
Dhanbad	144	49	54	191	37.5
Faridabad	711	227	247	537	34.7398
Ghaziabad	850	358	378	710	44.4706
Gwalior	1974	213	232	1434	11.7528
Hyderabad	2577	433	464	2471	18.0054
Indore	5433	419	447	4419	8.2275
Jaipur	1792	374	391	1636	21.8192
Jabalpur	2919	251	275	2545	9.42103
Jamshedpur	424	173	189	334	44.5755
Jodhpur	533	313	313	436	58.7242
Kochi	2280	136	144	2431	6.31579
Kolkata	3937	471	498	3216	12.6492
Kollam	1763	197	213	1909	12.0817
Kota	601	108	112	709	18.6356
Kannur	618	74	78	814	12.6214
Lucknow	1202	474	497	762	41.3478
Ludhiana	430	250	262	250	60.9302
Madurai	839	121	127	835	15.1371
Mallapuram	2711	295	325	3604	11.9882
Mumbai	24592	471	488	4543	1.98439
Meerut	964	431	447	833	46.3693
Nagpur	1083	273	280	972	25.8541
Patna	1185	509	509	556	42.9536
Pune	1624	388	407	1392	25.0616
Rajkot	981	125	151	983	15.3925
Surat	1146	225	229	867	19.9825
Srinagar	511	60	64	539	12.5245
Thrissur	1288	119	127	1420	9.86025
Vadodra	1196	156	171	1071	14.2977
Varanasi	379	216	216	160	56.9921
Visakhapatnam	0	0	0	0	0
Allahabad	933	396	408	573	43.7299
Amritsar	152	95	95	71	62.5
Chandigarh	419	130	136	347	32.4582
Chennai	9663	1367	1401	8628	14.4986
Kanpur	1257	522	564	958	44.8687
Khozikode	1270	166	174	1451	13.7008
Nashik	1023	145	155	461	15.1515
Raipur	2222	348	362	1558	16.2916
Thiruvanthapuram	1933	164	167	2244	8.63942
Tiruchirapalli	778	139	142	864	18.2519
Vijaywada	1600	365	376	1446	23.5
Vizaq	1439	371	384	1063	26.6852
