Agra	1008	436	502	750	49.8
Ahmedabad	1888	227	230	1855	12.2
Asansol_Durgapur	433	200	218	404	50.3
Aurangabad	565	150	160	547	28.3
Bengaluru	5215	733	752	4334	14.4
Bhopal	3294	242	257	2615	7.8
Coimbatore	1300	245	248	1138	19.1
Delhi	7566	1778	1820	7098	24.1
Dhanbad	484	223	248	551	51.2
Faridabad	713	205	215	507	30.2
Ghaziabad	874	363	406	667	46.5
Gwalior	1934	232	247	1470	12.8
Hyderabad	2591	482	493	2237	19
Indore	5516	388	422	4407	7.7
Jaipur	1794	379	399	1525	22.2
Jabalpur	2939	301	327	2639	11.1
Jamshedpur	382	147	153	384	40.1
Jodhpur	522	261	298	536	57.1
Kochi	2248	147	151	2219	6.7
Kolkata	4437	420	437	3577	9.8
Kollam	1577	247	265	1659	16.8
Kota	706	98	109	784	15.4
Kannur	593	55	58	737	9.8
Lucknow	1254	458	473	762	37.7
Ludhiana	519	312	324	291	62.4
Madurai	695	140	145	668	20.9
Mallapuram	2653	314	354	3249	13.3
Mumbai	23512	481	502	4250	2.1
Meerut	842	304	352	774	41.8
Nagpur	1265	298	310	1237	24.5
Patna	1214	514	514	567	42.3
Pune	1687	388	399	1503	23.7
Rajkot	796	115	119	761	14.9
Surat	971	213	227	740	23.4
Srinagar	473	59	58	477	12.3
Thrissur	1297	127	133	1400	10.3
Vadodra	1170	175	183	1051	15.6
Varanasi	416	217	217	199	52.2
Visakhapatnam	0	0	0	0	0
Allahabad	1125	443	482	813	42.8
Amritsar	135	92	98	76	72.6
Chandigarh	410	114	117	335	28.5
Chennai	9705	1215	1247	8700	12.8
Kanpur	1269	472	554	923	43.7
Khozikode	1151	172	182	1298	15.8
Nashik	1127	108	134	616	11.9
Raipur	2242	383	394	1315	17.6
Thiruvanthapuram	2000	191	195	2341	10.3
Tiruchirapalli	641	121	129	701	20.1
Vijaywada	1496	320	339	1464	22.7
Vizaq	1548	382	411	1229	26.6
