Vadodra	164	1343	172	908	156	1196	171	1071	175	1170	183	1051	15.6	201	366	372	222	1161	217	990	18.7	216	387	332	229	1164	229	984	19.7
Varanasi	73	142	73	69	216	379	216	160	217	416	217	199	52.2	202	191	17	1	411	231	190	56.2	200	171	51	2	424	203	225	47.9
Visakhapatnam	410	1548	414	1286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Allahabad	NA	NA	NA	NA	396	933	408	573	443	1125	482	813	42.8	454	459	168	20	1101	481	758	43.7	455	389	159	16	1019	479	698	47
Amritsar	NA	NA	NA	NA	95	152	95	71	92	135	98	76	72.6	89	55	19	2	165	94	125	57	94	37	16	3	150	99	89	66
Chandigarh	NA	NA	NA	NA	130	419	136	347	114	410	117	335	28.5	124	9	199	37	369	131	335	35.5	124	7	236	49	416	129	331	31
Chennai	NA	NA	NA	NA	1367	9663	1401	8628	1215	9705	1247	8700	12.8	1083	2748	4966	813	9610	1118	9355	11.6	859	2949	3196	324	7328	886	7320	12.1
Kanpur	NA	NA	NA	NA	522	1257	564	958	472	1269	554	923	43.7	530	434	266	21	1251	600	941	48	625	185	686	0	1496	665	1077	44.5
Khozikode	NA	NA	NA	NA	166	1270	174	1451	172	1151	182	1298	15.8	151	760	185	81	1177	159	1253	13.5	150	931	247	159	1487	159	1567	10.7
Nashik	NA	NA	NA	NA	145	1023	155	461	108	1127	134	616	11.9	165	280	175	450	1070	172	494	16.1	225	309	181	586	1301	234	679	18
Raipur	NA	NA	NA	NA	348	2222	362	1558	383	2242	394	1315	17.6	425	76	983	613	2097	442	1452	21.1	406	106	1048	629	2189	448	1431	20.5
Thiruvanthapuram	NA	NA	NA	NA	164	1933	167	2244	191	2000	195	2341	10.3	165	1469	294	79	2007	175	2371	8.7	159	1626	316	98	2199	164	2660	7.5
Tiruchirapalli	NA	NA	NA	NA	139	778	142	864	121	641	129	701	20.1	168	4	515	24	711	180	766	25.3	156	7	597	68	828	161	873	19.4
Vijaywada	NA	NA	NA	NA	365	1600	376	1446	320	1496	339	1464	22.7	314	379	860	116	1669	335	1578	20.1	362	335	850	97	1644	379	1548	23.1
Vizaq	NA	NA	NA	NA	371	1439	384	1063	382	1548	411	1229	26.6	329	720	228	288	1565	342	1356	21.9	343	771	186	337	1637	373	1313	22.8
