Agra	1143	498	474	650	41.5	369	260	16
Ahmedabad	1837	318	328	1722	17.9	351	1168	0
Asansol_Durgapur	446	210	210	220	47.1	160	60	16
Aurangabad	654	153	170	670	26	297	147	57
Bengaluru	4834	708	713	4057	14.7	1331	1899	896
Bhopal	3621	222	235	2779	6.5	207	2351	841
Coimbatore	1513	238	245	1393	16.2	483	664	128
Delhi	8085	1582	1622	8258	20.1	372	5971	160
Dhanbad	114	42	48	137	42.1	48	19	5
Faridabad	669	199	206	539	30.8	92	374	4
Ghaziabad	826	316	331	668	40.1	430	70	10
Gwalior	2140	249	265	1703	12.4	118	1498	275
Hyderabad	2761	425	425	2382	15.4	484	1635	217
Indore	5873	421	444	4685	7.6	322	4057	1073
Jaipur	1894	452	476	1661	25.1	758	428	256
Jabalpur	3374	345	365	3216	10.8	370	2287	372
Jamshedpur	347	151	157	329	45.2	133	38	25
Jodhpur	678	257	297	700	43.8	70	308	43
Kochi	2561	159	168	2721	6.6	1555	560	287
Kolkata	4347	412	422	3329	9.7	1357	1404	1174
Kollam	1561	191	204	1601	13.1	1233	101	36
Kota	745	105	108	713	14.5	180	391	69
Kannur	624	65	67	796	10.7	262	259	38
Lucknow	1371	483	526	820	38.4	379	353	156
Ludhiana	489	260	271	324	55.4	133	80	16
Madurai	1037	208	215	1021	20.7	15	768	46
Mallapuram	2882	332	367	3264	12.7	1923	347	280
Mumbai	23468	586	611	4029	2.6	2034	1213	19635
Meerut	962	372	396	721	41.2	545	45	0
Nagpur	1254	254	260	1233	20.7	497	460	43
Patna	665	244	261	390	39.2	270	59	92
Pune	1443	419	438	1205	30.4	568	367	89
Rajkot	780	136	150	716	19.2	134	432	78
Surat	903	251	257	773	28.5	386	179	87
Srinagar	435	59	63	462	14.5	1	336	39
Thrissur	1406	103	110	1538	7.8	870	319	114
Vadodra	1164	216	229	984	19.7	387	332	229
Varanasi	424	200	203	225	47.9	171	51	2
Visakhapatnam	0	0	0	0	0	0	0	0
Allahabad	1019	455	479	698	47	389	159	16
Amritsar	150	94	99	89	66	37	16	3
Chandigarh	416	124	129	331	31	7	236	49
Chennai	7328	859	886	7320	12.1	2949	3196	324
Kanpur	1496	625	665	1077	44.5	185	686	0
Khozikode	1487	150	159	1567	10.7	931	247	159
Nashik	1301	225	234	679	18	309	181	586
Raipur	2189	406	448	1431	20.5	106	1048	629
Thiruvanthapuram	2199	159	164	2660	7.5	1626	316	98
Tiruchirapalli	828	156	161	873	19.4	7	597	68
Vijaywada	1644	362	379	1548	23.1	335	850	97
Vizaq	1637	343	373	1313	22.8	771	186	337
